#   X	          Y	         Z	   Intensity
-0.37971500	-1.02104199	0.94148302	0.339483
-0.37870800	-1.01835597	0.94142199	0.339971
-0.37773100	-1.01570106	0.94133002	0.335332
-0.37660199	-1.01271105	0.94093299	0.331914
-0.37556499	-1.00987196	0.94068903	0.333135
-0.37455699	-1.00721705	0.94059801	0.342901
-0.39414999	-1.05589294	0.94236797	0.437873
-0.39320400	-1.05339098	0.94252002	0.418341
-0.39231899	-1.05104101	0.94282502	0.400763
-0.39146399	-1.04869103	0.94313002	0.385626
-0.39045700	-1.04603601	0.94313002	0.372442
-0.38926700	-1.04283094	0.94264197	0.363897
-0.38801599	-1.03944397	0.94197100	0.352178
-0.38688701	-1.03642297	0.94163501	0.343145
-0.38581800	-1.03355396	0.94145203	0.338750
-0.38481101	-1.03089905	0.94139099	0.340948
-0.38374299	-1.02806103	0.94117701	0.338018
-0.38267499	-1.02522302	0.94096398	0.334112
-0.38163799	-1.02235401	0.94075000	0.331182
-0.38044700	-1.01918006	0.94020098	0.334112
-0.37944001	-1.01652503	0.94014001	0.333135
-0.37840301	-1.01368701	0.93989599	0.333135
-0.37733501	-1.01084900	0.93965101	0.333135
-0.37635800	-1.00819397	0.93956000	0.338262
-0.37529001	-1.00535595	0.93931597	0.345342
-0.39689600	-1.05912805	0.94328302	0.445686
-0.39582801	-1.05625904	0.94316101	0.429084
-0.39476001	-1.05339098	0.94300801	0.411749
-0.39387500	-1.05107105	0.94331402	0.390753
-0.39302099	-1.04872096	0.94361901	0.372442
-0.39201400	-1.04603601	0.94361901	0.359014
-0.39094499	-1.04319799	0.94343603	0.353155
-0.38972500	-1.03999305	0.94291699	0.343633
-0.38841200	-1.03645301	0.94212300	0.337530
-0.38740501	-1.03376806	0.94206202	0.335332
-0.38645899	-1.03126502	0.94218397	0.334112
-0.38539100	-1.02842700	0.94197100	0.330694
-0.38432300	-1.02558899	0.94175702	0.330694
-0.38319400	-1.02256799	0.94139099	0.331914
-0.38200399	-1.01939404	0.94084197	0.335332
-0.38096601	-1.01655602	0.94059801	0.332403
-0.37989801	-1.01371801	0.94038397	0.330694
-0.37895200	-1.01121497	0.94044501	0.328496
-0.37791401	-1.00840795	0.94020098	0.333623
-0.37684599	-1.00556898	0.93995702	0.340703
-0.39775100	-1.05738795	0.94221503	0.410529
-0.39732400	-1.05629003	0.94361901	0.410529
-0.39564499	-1.05186498	0.94206202	0.375616
-0.39463800	-1.04917896	0.94206202	0.364630
-0.39424101	-1.04807997	0.94346601	0.364630
-0.39274600	-1.04417396	0.94233698	0.347295
-0.39234900	-1.04304504	0.94374102	0.347295
-0.39042699	-1.03794897	0.94151300	0.337530
-0.38935900	-1.03507996	0.94133002	0.331914
-0.38826001	-1.03224194	0.94111598	0.331914
-0.38707000	-1.02906799	0.94059801	0.328984
-0.38594100	-1.02604699	0.94023103	0.326299
-0.38481101	-1.02302599	0.93986499	0.327276
-0.38380399	-1.02037001	0.93980402	0.331914
-0.38285801	-1.01768506	0.93971300	0.330205
-0.38185099	-1.01503003	0.93965101	0.328496
-0.38084400	-1.01237500	0.93956000	0.328008
-0.37971500	-1.00938404	0.93916303	0.328008
-0.37858599	-1.00636303	0.93876600	0.335332
-0.37751800	-1.00355506	0.93849200	0.343633
-0.40071100	-1.06135595	0.94374102	0.417609
-0.39955100	-1.05833399	0.94346601	0.397345
-0.39842200	-1.05528295	0.94316101	0.376349
-0.39741501	-1.05259705	0.94316101	0.365606
-0.39631701	-1.04972804	0.94300801	0.356329
-0.39530900	-1.04704297	0.94297802	0.349493
-0.39418000	-1.04402196	0.94267303	0.343389
-0.39302099	-1.04100001	0.94233698	0.341924
-0.39176899	-1.03764296	0.94166601	0.337041
-0.39061001	-1.03462195	0.94133002	0.333135
-0.38954201	-1.03178406	0.94111598	0.332403
-0.38853499	-1.02909899	0.94108599	0.328496
-0.38752699	-1.02644300	0.94102502	0.326299
-0.38639799	-1.02342200	0.94065899	0.323369
-0.38511699	-1.02006495	0.93995702	0.325078
-0.38398701	-1.01707494	0.93956000	0.324346
-0.38304099	-1.01457202	0.93965101	0.325567
-0.38209501	-1.01209998	0.93974298	0.325567
-0.38102701	-1.00926197	0.93949902	0.323857
-0.37992901	-1.00627100	0.93907201	0.327764
-0.37892199	-1.00361598	0.93897998	0.333623
-0.40339699	-1.06440699	0.94450402	0.422004
-0.40245101	-1.06190503	0.94468701	0.411994
-0.40150499	-1.05940199	0.94487000	0.397833
-0.40022299	-1.05601501	0.94426000	0.379767
-0.39900199	-1.05281103	0.94377100	0.367803
-0.39790300	-1.04994202	0.94361901	0.355108
-0.39689600	-1.04725599	0.94361901	0.345098
-0.39582801	-1.04441798	0.94343603	0.339727
-0.39466900	-1.04139698	0.94309998	0.342657
-0.39350900	-1.03837597	0.94276398	0.341924
-0.39222699	-1.03498805	0.94212300	0.339727
-0.39109799	-1.03196704	0.94175702	0.336309
-0.38987699	-1.02879298	0.94123799	0.335821
-0.38880900	-1.02595496	0.94102502	0.330694
-0.38767999	-1.02293396	0.94065899	0.324590
-0.38655099	-1.01991296	0.94026202	0.319951
-0.38539100	-1.01692200	0.93989599	0.322637
-0.38432300	-1.01408398	0.93965101	0.323857
-0.38331601	-1.01142895	0.93956000	0.324346
-0.38246199	-1.00914001	0.93980402	0.323369
-0.38136300	-1.00630200	0.93956000	0.325567
-0.38035601	-1.00364697	0.93946803	0.328496
-0.37937900	-1.00099194	0.93934602	0.336065
-0.40531901	-1.06556702	0.94352698	0.412726
-0.40425101	-1.06269801	0.94340497	0.399542
-0.40315199	-1.05982995	0.94328302	0.389044
-0.40205401	-1.05696106	0.94313002	0.375372
-0.40083301	-1.05375695	0.94267303	0.364630
-0.39967301	-1.05073500	0.94236797	0.353399
-0.39854401	-1.04771399	0.94206202	0.345098
-0.39772001	-1.04554701	0.94252002	0.340215
-0.39662200	-1.04270899	0.94233698	0.340215
-0.39546201	-1.03968799	0.94200099	0.344854
-0.39427200	-1.03648400	0.94151300	0.341436
-0.39305100	-1.03331006	0.94099402	0.335332
-0.39204401	-1.03062403	0.94096398	0.332403
-0.39094499	-1.02778602	0.94075000	0.326787
-0.38972500	-1.02461195	0.94023103	0.322148
-0.38847399	-1.02125502	0.93952900	0.320439
-0.38740501	-1.01841700	0.93931597	0.324346
-0.38624600	-1.01542699	0.93891901	0.326055
-0.38517800	-1.01258898	0.93870503	0.330694
-0.38410899	-1.00975001	0.93846101	0.331426
-0.38316301	-1.00727797	0.93852198	0.331426
-0.38209501	-1.00447094	0.93827802	0.328984
-0.38093600	-1.00147998	0.93785101	0.335332
-0.40791300	-1.06825304	0.94398499	0.414435
-0.40696701	-1.06575000	0.94416797	0.399054
-0.40602100	-1.06321704	0.94435102	0.389532
-0.40492201	-1.06037903	0.94422901	0.379767
-0.40376300	-1.05732703	0.94392401	0.371954
-0.40266401	-1.05445898	0.94377100	0.360479
-0.40144300	-1.05125403	0.94331402	0.351202
-0.40016201	-1.04789698	0.94267303	0.340703
-0.39900199	-1.04487598	0.94236797	0.335088
-0.39787301	-1.04182398	0.94203198	0.337530
-0.39683500	-1.03916895	0.94200099	0.339239
-0.39576700	-1.03630102	0.94181800	0.337530
-0.39466900	-1.03346300	0.94163501	0.331914
-0.39353901	-1.03044105	0.94126898	0.330205
-0.39231899	-1.02726698	0.94075000	0.326299
-0.39122000	-1.02442896	0.94053602	0.322148
-0.39015201	-1.02159095	0.94032300	0.317754
-0.38899201	-1.01859999	0.93995702	0.318730
-0.38792399	-1.01576197	0.93971300	0.318730
-0.38685599	-1.01295495	0.93949902	0.319951
-0.38591000	-1.01045203	0.93956000	0.320928
-0.38487199	-1.00779700	0.93949902	0.319219
-0.38380399	-1.00498998	0.93922400	0.320928
-0.38267499	-1.00199902	0.93882799	0.323857
-0.38157699	-0.99919099	0.93855298	0.334844
-0.40986601	-1.06932104	0.94538897	0.410040
-0.40876800	-1.06645203	0.94526702	0.391485
-0.40776101	-1.06376600	0.94529700	0.376349
-0.40672299	-1.06108105	0.94529700	0.370977
-0.40535000	-1.05751002	0.94453400	0.365362
-0.40412900	-1.05430603	0.94407701	0.358770
-0.40290800	-1.05110204	0.94361901	0.351934
-0.40171799	-1.04807997	0.94331402	0.342412
-0.40055799	-1.04505897	0.94297802	0.335821
-0.39939901	-1.04203796	0.94267303	0.333623
-0.39845300	-1.03953600	0.94279498	0.337041
-0.39744601	-1.03688002	0.94276398	0.333623
-0.39613301	-1.03349304	0.94212300	0.328008
-0.39491299	-1.03031898	0.94160497	0.324590
-0.39369199	-1.02714503	0.94108599	0.328496
-0.39247099	-1.02397203	0.94053602	0.325078
-0.39134201	-1.02094996	0.94016999	0.318730
-0.39030501	-1.01829505	0.94010901	0.318730
-0.38923600	-1.01545703	0.93989599	0.319219
